date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:07	1492305/1492305	---M--	200	added ('OK')	application/pdf	etag:%2216c551-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectConsent.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectConsent.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:22:07	1496528/1496528	---M--	200	added ('OK')	application/pdf	etag:%2216d5d0-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectCorrespondence.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectCorrespondence.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:22:10	1489781/1489781	---M--	200	added ('OK')	application/pdf	etag:%2216bb75-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectClinicalData.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectClinicalData.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:22:17	1489455/1489455	---M--	200	added ('OK')	application/pdf	etag:%2216ba2f-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectBiospecimenSearch.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectBiospecimenSearch.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:22:29	3365155/3365155	---M--	200	added ('OK')	application/pdf	etag:%22335923-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectPedigree.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectPedigree.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:22:30	4892103/4892103	---M--	200	added ('OK')	application/pdf	etag:%224aa5c7-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectBiospecimen.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20AddNewSubjectBiospecimen.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:22:55	6915276/6915276	---M--	200	added ('OK')	application/pdf	etag:%226984cc-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Data%20Dictionary.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Data%20Dictionary.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:22:59	4813492/4813492	---M--	200	added ('OK')	application/pdf	etag:%224972b4-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Dataset%20Definition.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Dataset%20Definition.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:23:23	4813441/4813441	---M--	200	added ('OK')	application/pdf	etag:%22497281-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Dataset%20Data%20Upload.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Dataset%20Data%20Upload.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:23:26	4931019/4931019	---M--	200	added ('OK')	application/pdf	etag:%224b3dcb-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSInventory.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSInventory.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:23:33	2075662/2075662	---M--	200	added ('OK')	application/pdf	etag:%221fac0e-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSCollectionCustomFields.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSCollectionCustomFields.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:23:37	2075924/2075924	---M--	200	added ('OK')	application/pdf	etag:%221fad14-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSBiospecimenCustomFields.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSBiospecimenCustomFields.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:23:37	14262094/14262094	---M--	200	added ('OK')	application/pdf	etag:%22d99f4e-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Data%20Dictionary%20Upload.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Data%20Dictionary%20Upload.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:23:41	1315714/1315714	---M--	200	added ('OK')	application/pdf	etag:%22141382-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSBiospecimenUpload.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSBiospecimenUpload.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:23:41	3057832/3057832	---M--	200	added ('OK')	application/pdf	etag:%222ea8a8-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSBarcodeLabels.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20LIMSBarcodeLabels.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:24:18	6819655/6819655	---M--	200	added ('OK')	application/pdf	etag:%22680f47-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Work%20Tracking%20-%20Researcher.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Work%20Tracking%20-%20Researcher.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:24:18	6317859/6317859	---M--	200	added ('OK')	application/pdf	etag:%22606723-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Work%20Tracking%20-%20Billable%20Item%20Type.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Work%20Tracking%20-%20Billable%20Item%20Type.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:24:20	6919077/6919077	---M--	200	added ('OK')	application/pdf	etag:%226993a5-52e84525de800%22	https://sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Work%20Tracking%20-%20Work%20Request.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The%20Ark%20Documentation%20-%20Work%20Tracking%20-%20Work%20Request.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:24:22	886212/886212	---M--	200	added ('OK')	application/pdf	etag:%22d85c4-5772fa6f984ec%22	https://sphinx.org.au/images/docs/The-Ark-Documentation---Genomics---Microservice.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The-Ark-Documentation---Genomics---Microservice.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:24:26	857057/857057	---M--	200	added ('OK')	application/pdf	etag:%22d13e1-5772ff4cf898e%22	https://sphinx.org.au/images/docs/The-Ark-Documentation---Genomics---Datacentre.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The-Ark-Documentation---Genomics---Datacentre.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:24:26	794643/794643	---M--	200	added ('OK')	application/pdf	etag:%22c2013-5772ff86b5d62%22	https://sphinx.org.au/images/docs/The-Ark-Documentation---Genomics---Computation.pdf	/home/adrianb/websites/The%20Ark/sphinx.org.au/images/docs/The-Ark-Documentation---Genomics---Computation.pdf	(from https://sphinx.org.au/the-ark/documentation)
14:24:27	18427/18427	---M-Z	200	added ('OK')	application/rss+xml	date:Fri,%2003%20Mar%202023%2003:24:27%20GMT	https://sphinx.org.au/the-ark/for-programmers?format=feed&type=rss	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmersc0d0	(from https://sphinx.org.au/the-ark/for-programmers)
14:24:29	44256/44256	---MC-	200	added ('OK')	application/atom+xml	date:Fri,%2003%20Mar%202023%2003:24:28%20GMT	https://sphinx.org.au/the-ark/for-programmers?format=feed&type=atom	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers7b17	(from https://sphinx.org.au/the-ark/for-programmers)
14:24:29	9278/9278	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:24:29%20GMT	https://sphinx.org.au/the-ark/for-programmers/19-get-the-source-code	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers/19-get-the-source-code.html	(from https://sphinx.org.au/the-ark/for-programmers)
14:24:30	15005/15005	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2003:24:30%20GMT	https://sphinx.org.au/the-ark/for-programmers/17-vagrant	/home/adrianb/websites/The%20Ark/sphinx.org.au/the-ark/for-programmers/17-vagrant.html	(from https://sphinx.org.au/the-ark/for-programmers)
